Kahoot;;;;
Final Scores;;;;
Rank;Player;Total Score (points);Correct Answers;Incorrect Answers
1;PARTICIPANT1;9394;10;0
2;PARTICIPANT2;7647;8;2
3;PARTICIPANT3;7573;8;2
4;PARTICIPANT4;7407;8;2
5;PARTICIPANT5;6535;8;2
6;PARTICIPANT6;6518;7;3
7;PARTICIPANT7;6430;7;3
8;PARTICIPANT8;6124;7;3
9;PARTICIPANT9;6122;8;2
10;PARTICIPANT10;5950;6;4
11;PARTICIPANT11;5859;7;3
12;PARTICIPANT12;5790;8;2
13;PARTICIPANT13;5753;7;3
14;PARTICIPANT14;5528;6;4
15;PARTICIPANT15;5506;7;3
16;PARTICIPANT16;5434;6;4
17;PARTICIPANT17;4245;5;5
18;PARTICIPANT18;3709;5;5
